Compound,Date,Negative,Neutral,Organization,Positive,Tweets Ago
0.0,Tue Nov 05 01:34:13 +0000 2019,1.0,0.0,CBS,0.0,16
-0.3089,Tue Nov 05 01:33:06 +0000 2019,0.78,0.22,CBS,0.0,17
0.6113,Tue Nov 05 01:31:15 +0000 2019,0.637,0.0,CBS,0.363,18
0.0,Tue Nov 05 01:30:00 +0000 2019,1.0,0.0,CBS,0.0,19
0.0,Tue Nov 05 00:38:52 +0000 2019,1.0,0.0,CBS,0.0,20
0.2263,Tue Nov 05 02:09:15 +0000 2019,0.881,0.0,CBS,0.119,21
0.0,Tue Nov 05 02:01:51 +0000 2019,1.0,0.0,CBS,0.0,22
0.4939,Tue Nov 05 02:01:33 +0000 2019,0.714,0.0,CBS,0.286,23
0.296,Tue Nov 05 02:00:55 +0000 2019,0.896,0.0,CBS,0.104,24
-0.34,Tue Nov 05 01:53:54 +0000 2019,0.426,0.362,CBS,0.213,25
0.0,Tue Nov 05 01:50:51 +0000 2019,1.0,0.0,CBS,0.0,26
0.5499,Tue Nov 05 01:47:33 +0000 2019,0.756,0.0,CBS,0.244,27
0.0,Tue Nov 05 01:46:31 +0000 2019,1.0,0.0,CBS,0.0,28
0.128,Tue Nov 05 01:44:59 +0000 2019,0.909,0.0,CBS,0.091,29
0.0,Tue Nov 05 01:42:50 +0000 2019,1.0,0.0,CBS,0.0,30
0.0,Tue Nov 05 01:40:54 +0000 2019,1.0,0.0,CBS,0.0,31
0.0,Tue Nov 05 01:40:02 +0000 2019,1.0,0.0,CBS,0.0,32
0.0,Tue Nov 05 01:37:52 +0000 2019,1.0,0.0,CBS,0.0,33
0.0,Tue Nov 05 01:37:01 +0000 2019,1.0,0.0,CBS,0.0,34
0.0,Tue Nov 05 01:35:49 +0000 2019,1.0,0.0,CBS,0.0,35
0.0,Tue Nov 05 01:34:13 +0000 2019,1.0,0.0,CBS,0.0,36
-0.3089,Tue Nov 05 01:33:06 +0000 2019,0.78,0.22,CBS,0.0,37
0.6113,Tue Nov 05 01:31:15 +0000 2019,0.637,0.0,CBS,0.363,38
0.0,Tue Nov 05 01:30:00 +0000 2019,1.0,0.0,CBS,0.0,39
0.0,Tue Nov 05 00:38:52 +0000 2019,1.0,0.0,CBS,0.0,40
0.2263,Tue Nov 05 02:09:15 +0000 2019,0.881,0.0,CBS,0.119,41
0.0,Tue Nov 05 02:01:51 +0000 2019,1.0,0.0,CBS,0.0,42
0.4939,Tue Nov 05 02:01:33 +0000 2019,0.714,0.0,CBS,0.286,43
